frame.number	frame.time_utc	ip.src	tcp.srcport	ip.dst	tcp.dstport	tcp.len	tcp.payload
55	2026-08-12T10:10:16.048302000Z	94.130.239.50	49876	94.130.239.34	5901	8	d86e2b08a30f0000
56	2026-08-12T10:10:16.048324000Z	94.130.239.34	5901	94.130.239.50	49876	0	
57	2026-08-12T10:10:17.200240000Z	94.130.239.51	33600	94.130.239.34	5901	8	6a7ecd07a30f0000
58	2026-08-12T10:10:17.200271000Z	94.130.239.34	5901	94.130.239.51	33600	0	
59	2026-08-12T10:10:26.092886000Z	94.130.239.50	49876	94.130.239.34	5901	8	a557e107a30f0000
60	2026-08-12T10:10:26.092910000Z	94.130.239.34	5901	94.130.239.50	49876	0	
61	2026-08-12T10:10:27.211958000Z	94.130.239.51	33600	94.130.239.34	5901	8	f9400b08a30f0000
62	2026-08-12T10:10:27.211983000Z	94.130.239.34	5901	94.130.239.51	33600	0	
63	2026-08-12T10:10:31.400835000Z	94.130.239.34	5901	94.130.239.50	49876	16	1558fb0652140800804ea3ce422add01
64	2026-08-12T10:10:31.400871000Z	94.130.239.50	49876	94.130.239.34	5901	0	
65	2026-08-12T10:10:31.415487000Z	94.130.239.50	49876	94.130.239.34	5901	32	a82d870753141800070000000000000076bf73f59f0100003e194d0200000000
66	2026-08-12T10:10:31.415517000Z	94.130.239.34	5901	94.130.239.50	49876	0	
67	2026-08-12T10:10:32.182266000Z	94.130.239.34	5901	94.130.239.51	33600	16	36571b0752140800507a1acf422add01
68	2026-08-12T10:10:32.182303000Z	94.130.239.51	33600	94.130.239.34	5901	0	
69	2026-08-12T10:10:32.230836000Z	94.130.239.51	33600	94.130.239.34	5901	32	447e6107531418001800000000000000a5c273f59f0100006d1c4d0200000000
70	2026-08-12T10:10:32.230862000Z	94.130.239.34	5901	94.130.239.51	33600	0	
71	2026-08-12T10:10:36.138877000Z	94.130.239.50	49876	94.130.239.34	5901	8	43577f07a30f0000
72	2026-08-12T10:10:36.138902000Z	94.130.239.34	5901	94.130.239.50	49876	0	
73	2026-08-12T10:10:37.252061000Z	94.130.239.51	33600	94.130.239.34	5901	8	f73f1b08a30f0000
74	2026-08-12T10:10:37.252084000Z	94.130.239.34	5901	94.130.239.51	33600	0	
75	2026-08-12T10:10:46.150911000Z	94.130.239.50	49876	94.130.239.34	5901	8	c256fd07a30f0000
76	2026-08-12T10:10:46.150934000Z	94.130.239.34	5901	94.130.239.50	49876	0	
77	2026-08-12T10:10:47.308014000Z	94.130.239.51	33600	94.130.239.34	5901	8	d86e2b08a30f0000
78	2026-08-12T10:10:47.308043000Z	94.130.239.34	5901	94.130.239.51	33600	0	
79	2026-08-12T10:10:56.210433000Z	94.130.239.50	49876	94.130.239.34	5901	8	4d639507a30f0000
80	2026-08-12T10:10:56.210460000Z	94.130.239.34	5901	94.130.239.50	49876	0	
81	2026-08-12T10:10:57.339844000Z	94.130.239.51	33600	94.130.239.34	5901	8	a557e107a30f0000
82	2026-08-12T10:10:57.339881000Z	94.130.239.34	5901	94.130.239.51	33600	0	
83	2026-08-12T10:11:01.414722000Z	94.130.239.34	5901	94.130.239.50	49876	16	2a35ed0652140800901885e0422add01
84	2026-08-12T10:11:01.455294000Z	94.130.239.50	49876	94.130.239.34	5901	0	
85	2026-08-12T10:11:01.623468000Z	94.130.239.50	49876	94.130.239.34	5901	32	f4cb7108531418006e00000000000000763574f59f0100003c8f4d0200000000
86	2026-08-12T10:11:01.623503000Z	94.130.239.34	5901	94.130.239.50	49876	0	
87	2026-08-12T10:11:02.183492000Z	94.130.239.34	5901	94.130.239.51	33600	16	c181e307521408006044fce0422add01
88	2026-08-12T10:11:02.183522000Z	94.130.239.51	33600	94.130.239.34	5901	0	
89	2026-08-12T10:11:02.239428000Z	94.130.239.51	33600	94.130.239.34	5901	32	a82d8707531418001c00000000000000de3774f59f010000a4914d0200000000
90	2026-08-12T10:11:02.239454000Z	94.130.239.34	5901	94.130.239.51	33600	0	
91	2026-08-12T10:11:06.292225000Z	94.130.239.50	49876	94.130.239.34	5901	8	bd812308a30f0000
92	2026-08-12T10:11:06.292252000Z	94.130.239.34	5901	94.130.239.50	49876	0	
93	2026-08-12T10:11:07.405969000Z	94.130.239.51	33600	94.130.239.34	5901	8	43577f07a30f0000
94	2026-08-12T10:11:07.405993000Z	94.130.239.34	5901	94.130.239.51	33600	0	
95	2026-08-12T10:11:16.358335000Z	94.130.239.50	49876	94.130.239.34	5901	8	4e7eb107a30f0000
96	2026-08-12T10:11:16.358382000Z	94.130.239.34	5901	94.130.239.50	49876	0	
97	2026-08-12T10:11:17.441666000Z	94.130.239.51	33600	94.130.239.34	5901	8	c256fd07a30f0000
98	2026-08-12T10:11:17.441692000Z	94.130.239.34	5901	94.130.239.51	33600	0	
99	2026-08-12T10:11:26.374013000Z	94.130.239.50	49876	94.130.239.34	5901	8	b55ee507a30f0000
100	2026-08-12T10:11:26.374037000Z	94.130.239.34	5901	94.130.239.50	49876	0	
101	2026-08-12T10:11:27.469523000Z	94.130.239.51	33600	94.130.239.34	5901	8	4d639507a30f0000
102	2026-08-12T10:11:27.469547000Z	94.130.239.34	5901	94.130.239.51	33600	0	
103	2026-08-12T10:11:31.415717000Z	94.130.239.34	5901	94.130.239.50	49876	16	3b7f5b075214080060b768f2422add01
104	2026-08-12T10:11:31.415753000Z	94.130.239.50	49876	94.130.239.34	5901	0	
105	2026-08-12T10:11:31.511529000Z	94.130.239.50	49876	94.130.239.34	5901	32	1a5f2b0753141800300000000000000037aa74f59f010000fa034e0200000000
106	2026-08-12T10:11:31.511554000Z	94.130.239.34	5901	94.130.239.50	49876	0	
107	2026-08-12T10:11:32.184218000Z	94.130.239.34	5901	94.130.239.51	33600	16	ec52df0752140800700edef2422add01
108	2026-08-12T10:11:32.184258000Z	94.130.239.51	33600	94.130.239.34	5901	0	
109	2026-08-12T10:11:32.300861000Z	94.130.239.51	33600	94.130.239.34	5901	32	f4cb7108531418003a000000000000004cad74f59f0100000f074e0200000000
110	2026-08-12T10:11:32.300889000Z	94.130.239.34	5901	94.130.239.51	33600	0	
111	2026-08-12T10:11:36.428368000Z	94.130.239.50	49876	94.130.239.34	5901	8	b15add07a30f0000
112	2026-08-12T10:11:36.428398000Z	94.130.239.34	5901	94.130.239.50	49876	0	
113	2026-08-12T10:11:37.544878000Z	94.130.239.51	33600	94.130.239.34	5901	8	bd812308a30f0000
114	2026-08-12T10:11:37.544903000Z	94.130.239.34	5901	94.130.239.51	33600	0	
115	2026-08-12T10:11:46.488337000Z	94.130.239.50	49876	94.130.239.34	5901	8	8a379307a30f0000
116	2026-08-12T10:11:46.488365000Z	94.130.239.34	5901	94.130.239.50	49876	0	
117	2026-08-12T10:11:47.584414000Z	94.130.239.51	33600	94.130.239.34	5901	8	4e7eb107a30f0000
118	2026-08-12T10:11:47.584440000Z	94.130.239.34	5901	94.130.239.51	33600	0	
119	2026-08-12T10:11:56.548425000Z	94.130.239.50	49876	94.130.239.34	5901	8	b553ed07a30f0000
120	2026-08-12T10:11:56.548451000Z	94.130.239.34	5901	94.130.239.50	49876	0	
121	2026-08-12T10:11:57.622063000Z	94.130.239.51	33600	94.130.239.34	5901	8	b55ee507a30f0000
122	2026-08-12T10:11:57.622091000Z	94.130.239.34	5901	94.130.239.51	33600	0	
123	2026-08-12T10:12:01.416701000Z	94.130.239.34	5901	94.130.239.50	49876	16	6a7e89075214080070814a04432add01
124	2026-08-12T10:12:01.416735000Z	94.130.239.50	49876	94.130.239.34	5901	0	
125	2026-08-12T10:12:01.479552000Z	94.130.239.50	49876	94.130.239.34	5901	32	14a56b07531418001f00000000000000461f75f59f01000009794e0200000000
126	2026-08-12T10:12:01.479574000Z	94.130.239.34	5901	94.130.239.50	49876	0	
127	2026-08-12T10:12:02.185189000Z	94.130.239.34	5901	94.130.239.51	33600	16	1558fb065214080080d8bf04432add01
128	2026-08-12T10:12:02.185222000Z	94.130.239.51	33600	94.130.239.34	5901	0	
129	2026-08-12T10:12:02.235502000Z	94.130.239.51	33600	94.130.239.34	5901	32	1a5f2b075314180019000000000000003a2275f59f010000fd7b4e0200000000
130	2026-08-12T10:12:02.235525000Z	94.130.239.34	5901	94.130.239.51	33600	0	
131	2026-08-12T10:12:06.612061000Z	94.130.239.50	49876	94.130.239.34	5901	8	eb561308a30f0000
132	2026-08-12T10:12:06.612085000Z	94.130.239.34	5901	94.130.239.50	49876	0	
133	2026-08-12T10:12:07.644126000Z	94.130.239.51	33600	94.130.239.34	5901	8	b15add07a30f0000
134	2026-08-12T10:12:07.644146000Z	94.130.239.34	5901	94.130.239.51	33600	0	
